CohortMonth,1,2,3,4,5,6,7,8,9,10,11,12,13
2018-12,100.0,33.23586744639376,30.214424951267056,35.86744639376218,34.60038986354776,37.52436647173489,34.99025341130604,33.72319688109162,32.45614035087719,37.8167641325536,35.96491228070175,47.953216374269005,24.171539961013643
2019-01,100.0,20.20618556701031,26.18556701030928,22.88659793814433,30.309278350515463,28.04123711340206,23.298969072164947,23.505154639175256,28.45360824742268,31.752577319587626,34.22680412371134,11.54639175257732,
2019-02,100.0,18.949771689497716,18.2648401826484,26.027397260273972,26.25570776255708,22.37442922374429,23.972602739726025,26.71232876712329,23.515981735159816,30.136986301369863,6.8493150684931505,,
2019-03,100.0,14.115308151093439,22.86282306163022,18.886679920477135,23.061630218687874,16.50099403578529,26.043737574552683,23.26043737574553,28.429423459244536,9.343936381709742,,,
2019-04,100.0,20.5607476635514,18.69158878504673,19.626168224299064,19.314641744548286,23.05295950155763,21.49532710280374,25.85669781931464,7.78816199376947,,,,
2019-05,100.0,18.67469879518072,18.67469879518072,16.566265060240966,20.481927710843372,21.987951807228914,25.301204819277107,8.132530120481928,,,,,
2019-06,100.0,17.51824817518248,14.963503649635038,21.897810218978105,22.62773722627737,28.832116788321166,10.583941605839415,,,,,,
2019-07,100.0,14.691943127962084,17.535545023696685,20.379146919431278,29.85781990521327,10.42654028436019,,,,,,,
2019-08,100.0,18.497109826589593,23.699421965317917,22.54335260115607,11.560693641618498,,,,,,,,
2019-09,100.0,24.113475177304963,33.33333333333333,12.411347517730496,,,,,,,,,
2019-10,100.0,23.283582089552237,10.149253731343283,,,,,,,,,,
2019-11,100.0,11.03448275862069,,,,,,,,,,,
2019-12,100.0,,,,,,,,,,,,
